NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvtheta with min-max learning rates 0.001 to 0.009.
Training the global horizontal and stratosphere_only vertical model, with features uvtheta with min-max learning rates 0.001 to 0.009, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.17 MBs,
 --- Num params: 37.777 mil. 
Epoch 1, 1/100, training mseloss: 0.250473, testing mseloss: 0.253053
Epoch 36, 36/100, training mseloss: 0.179114, testing mseloss: 0.183954
Epoch 37, 37/100, training mseloss: 0.178245, testing mseloss: 0.182604
Epoch 38, 38/100, training mseloss: 0.177321, testing mseloss: 0.178444
Epoch 39, 39/100, training mseloss: 0.176608, testing mseloss: 0.182240
Epoch 40, 40/100, training mseloss: 0.175964, testing mseloss: 0.182302
Epoch 41, 41/100, training mseloss: 0.175341, testing mseloss: 0.177055
Epoch 42, 42/100, training mseloss: 0.220285, testing mseloss: 0.215814
Epoch 43, 43/100, training mseloss: 0.194272, testing mseloss: 0.204971
Epoch 44, 44/100, training mseloss: 0.188351, testing mseloss: 0.190425
Epoch 45, 45/100, training mseloss: 0.181538, testing mseloss: 0.182462
Epoch 46, 46/100, training mseloss: 0.179520, testing mseloss: 0.187796
Epoch 47, 47/100, training mseloss: 0.181732, testing mseloss: 0.194740
Epoch 48, 48/100, training mseloss: 0.178553, testing mseloss: 0.180088
Epoch 49, 49/100, training mseloss: 0.176480, testing mseloss: 0.186624
Epoch 50, 50/100, training mseloss: 0.175545, testing mseloss: 0.220270
Epoch 51, 51/100, training mseloss: 0.174852, testing mseloss: 0.189161
Epoch 52, 52/100, training mseloss: 0.173878, testing mseloss: 0.205843
Epoch 53, 53/100, training mseloss: 0.173218, testing mseloss: 0.181668
Epoch 54, 54/100, training mseloss: 0.172632, testing mseloss: 0.180072
Epoch 55, 55/100, training mseloss: 0.172038, testing mseloss: 0.175297
Epoch 56, 56/100, training mseloss: 0.171420, testing mseloss: 0.178673
Epoch 57, 57/100, training mseloss: 0.170796, testing mseloss: 0.189035
Epoch 58, 58/100, training mseloss: 0.170364, testing mseloss: 0.183306
Epoch 59, 59/100, training mseloss: 0.169699, testing mseloss: 0.185291
Epoch 60, 60/100, training mseloss: 0.169218, testing mseloss: 0.191685
Epoch 61, 61/100, training mseloss: 0.169477, testing mseloss: 0.182557
Epoch 62, 62/100, training mseloss: 0.168397, testing mseloss: 0.172486
Epoch 63, 63/100, training mseloss: 0.167853, testing mseloss: 0.177031
Epoch 64, 64/100, training mseloss: 0.167379, testing mseloss: 0.183901
Epoch 65, 65/100, training mseloss: 0.167024, testing mseloss: 0.178499
Epoch 66, 66/100, training mseloss: 0.166541, testing mseloss: 0.184364
Epoch 67, 67/100, training mseloss: 0.166109, testing mseloss: 0.186502
Epoch 68, 68/100, training mseloss: 0.165685, testing mseloss: 0.178412
Epoch 69, 69/100, training mseloss: 0.165235, testing mseloss: 0.168424
Epoch 70, 70/100, training mseloss: 0.164868, testing mseloss: 0.178120
Epoch 71, 71/100, training mseloss: 0.164488, testing mseloss: 0.177345
Epoch 72, 72/100, training mseloss: 0.164198, testing mseloss: 0.177333
Epoch 73, 73/100, training mseloss: 0.163784, testing mseloss: 0.176825
Epoch 74, 74/100, training mseloss: 0.163420, testing mseloss: 0.181005
Epoch 75, 75/100, training mseloss: 0.163203, testing mseloss: 0.177670
Epoch 76, 76/100, training mseloss: 0.162754, testing mseloss: 0.166122
Epoch 77, 77/100, training mseloss: 0.162485, testing mseloss: 0.177244
Epoch 78, 78/100, training mseloss: 0.162063, testing mseloss: 0.172170
Epoch 79, 79/100, training mseloss: 0.161762, testing mseloss: 0.170248
Epoch 80, 80/100, training mseloss: 0.161432, testing mseloss: 0.170340
Epoch 81, 81/100, training mseloss: 0.161087, testing mseloss: 0.174334
Epoch 82, 82/100, training mseloss: 0.160880, testing mseloss: 0.171467
Epoch 83, 83/100, training mseloss: 0.160451, testing mseloss: 0.166193
Epoch 84, 84/100, training mseloss: 0.160175, testing mseloss: 0.170906
Epoch 85, 85/100, training mseloss: 0.159823, testing mseloss: 0.169389
Epoch 86, 86/100, training mseloss: 0.159538, testing mseloss: 0.165117
Epoch 87, 87/100, training mseloss: 0.159207, testing mseloss: 0.170623
Epoch 88, 88/100, training mseloss: 0.158970, testing mseloss: 0.169152
Epoch 89, 89/100, training mseloss: 0.158766, testing mseloss: 0.172560
Epoch 90, 90/100, training mseloss: 0.158458, testing mseloss: 0.167113
Epoch 91, 91/100, training mseloss: 0.158124, testing mseloss: 0.170533
Epoch 92, 92/100, training mseloss: 0.157771, testing mseloss: 0.167658
Epoch 93, 93/100, training mseloss: 0.157453, testing mseloss: 0.163542
Epoch 94, 94/100, training mseloss: 0.170899, testing mseloss: 0.181840
Epoch 95, 95/100, training mseloss: 0.165556, testing mseloss: 0.189070
Epoch 96, 96/100, training mseloss: 0.161224, testing mseloss: 0.164225
Epoch 97, 97/100, training mseloss: 0.159345, testing mseloss: 0.164547
Epoch 98, 98/100, training mseloss: 0.158414, testing mseloss: 0.177043
Epoch 99, 99/100, training mseloss: 0.157855, testing mseloss: 0.173016
Epoch 100, 100/100, training mseloss: 0.157295, testing mseloss: 0.162513
Model training complete
