NGPUS = 1
Training the global horizontal and global vertical model with features uvthetaw with min-max learning rates 0.001 to 0.009.
Training the global horizontal and global vertical model, with features uvthetaw with min-max learning rates 0.001 to 0.009, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.88 MBs,
 --- Num params: 37.963 mil. 
Epoch 1, 1/100, training mseloss: 0.599563, testing mseloss: 0.566171
Epoch 40, 40/100, training mseloss: 0.348578, testing mseloss: 0.389658
Epoch 41, 41/100, training mseloss: 0.348065, testing mseloss: 0.400364
Epoch 42, 42/100, training mseloss: 0.347448, testing mseloss: 0.414082
Epoch 43, 43/100, training mseloss: 0.347671, testing mseloss: 0.379476
Epoch 44, 44/100, training mseloss: 0.347009, testing mseloss: 0.410777
Epoch 45, 45/100, training mseloss: 0.345988, testing mseloss: 0.384566
Epoch 46, 46/100, training mseloss: 0.357777, testing mseloss: 0.561842
Epoch 47, 47/100, training mseloss: 0.440521, testing mseloss: 0.473554
Epoch 48, 48/100, training mseloss: 0.407953, testing mseloss: 0.452468
Epoch 49, 49/100, training mseloss: 0.393399, testing mseloss: 0.476980
Epoch 50, 50/100, training mseloss: 0.378285, testing mseloss: 0.416922
Epoch 51, 51/100, training mseloss: 0.368358, testing mseloss: 0.453037
Epoch 52, 52/100, training mseloss: 0.360589, testing mseloss: 0.394012
Epoch 53, 53/100, training mseloss: 0.354518, testing mseloss: 0.544100
Epoch 54, 54/100, training mseloss: 0.431853, testing mseloss: 0.508569
Epoch 55, 55/100, training mseloss: 0.445631, testing mseloss: 0.460907
Epoch 56, 56/100, training mseloss: 0.424899, testing mseloss: 0.471646
Epoch 57, 57/100, training mseloss: 0.409553, testing mseloss: 0.429652
Epoch 58, 58/100, training mseloss: 0.397277, testing mseloss: 0.453862
Epoch 59, 59/100, training mseloss: 0.386878, testing mseloss: 0.418948
Epoch 60, 60/100, training mseloss: 0.377921, testing mseloss: 0.426288
Epoch 61, 61/100, training mseloss: 0.370300, testing mseloss: 0.421038
Epoch 62, 62/100, training mseloss: 0.363393, testing mseloss: 0.395377
Epoch 63, 63/100, training mseloss: 0.357599, testing mseloss: 0.431005
Epoch 64, 64/100, training mseloss: 0.353493, testing mseloss: 0.386709
Epoch 65, 65/100, training mseloss: 0.350954, testing mseloss: 1.040287
Epoch 66, 66/100, training mseloss: 0.349951, testing mseloss: 0.413285
Epoch 67, 67/100, training mseloss: 0.348018, testing mseloss: 0.388543
Epoch 68, 68/100, training mseloss: 0.347309, testing mseloss: 0.421797
Epoch 69, 69/100, training mseloss: 0.345746, testing mseloss: 0.374407
Epoch 70, 70/100, training mseloss: 0.344571, testing mseloss: 0.411098
Epoch 71, 71/100, training mseloss: 0.346992, testing mseloss: 0.396901
Epoch 72, 72/100, training mseloss: 0.344818, testing mseloss: 0.399822
Epoch 73, 73/100, training mseloss: 0.343869, testing mseloss: 0.486169
Epoch 74, 74/100, training mseloss: 0.416759, testing mseloss: 0.422661
Epoch 75, 75/100, training mseloss: 0.371854, testing mseloss: 0.438247
Epoch 76, 76/100, training mseloss: 0.356384, testing mseloss: 0.383876
Epoch 77, 77/100, training mseloss: 0.348711, testing mseloss: 0.401605
Epoch 78, 78/100, training mseloss: 0.346387, testing mseloss: 0.428258
Epoch 79, 79/100, training mseloss: 0.346220, testing mseloss: 0.401822
Epoch 80, 80/100, training mseloss: 0.344558, testing mseloss: 0.405951
Epoch 81, 81/100, training mseloss: 0.341594, testing mseloss: 0.396771
Epoch 82, 82/100, training mseloss: 0.354974, testing mseloss: 0.416198
Epoch 83, 83/100, training mseloss: 0.350720, testing mseloss: 0.379221
Epoch 84, 84/100, training mseloss: 0.342272, testing mseloss: 0.401577
Epoch 85, 85/100, training mseloss: 0.340751, testing mseloss: 0.396406
Epoch 86, 86/100, training mseloss: 0.341144, testing mseloss: 0.378860
Epoch 87, 87/100, training mseloss: 0.339390, testing mseloss: 0.408071
Epoch 88, 88/100, training mseloss: 0.339077, testing mseloss: 0.368626
Epoch 89, 89/100, training mseloss: 0.338956, testing mseloss: 0.396508
Epoch 90, 90/100, training mseloss: 0.339284, testing mseloss: 0.379887
Epoch 91, 91/100, training mseloss: 0.344168, testing mseloss: 0.403288
Epoch 92, 92/100, training mseloss: 0.403824, testing mseloss: 0.457231
Epoch 93, 93/100, training mseloss: 0.366376, testing mseloss: 0.386063
Epoch 94, 94/100, training mseloss: 0.349227, testing mseloss: 0.418887
Epoch 95, 95/100, training mseloss: 0.343766, testing mseloss: 0.377119
Epoch 96, 96/100, training mseloss: 0.351593, testing mseloss: 0.409904
Epoch 97, 97/100, training mseloss: 0.341488, testing mseloss: 0.385047
Epoch 98, 98/100, training mseloss: 0.339619, testing mseloss: 0.385470
Epoch 99, 99/100, training mseloss: 0.338276, testing mseloss: 0.400135
Epoch 100, 100/100, training mseloss: 0.337942, testing mseloss: 0.370691
Model training complete
