NGPUS = 1
Training the 1x1 ANN-CNNs, global horizontal and stratosphere_only vertical model with features uvtheta with min-max learning rates 0.0001 to 0.0009 for a CyclicLR, and dropout=0.1.

Training the global horizontal and stratosphere_only vertical model, with features uvtheta with min-max learning rates 0.0001 to 0.0009, and dropout=0.1. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].

Defined input files
train batch size = 20
validation batch size = 20
Input dim: 183, hidden dim: 732, output dim: 120
Restarting - model created. 
 --- model size: 9.55 MBs,
 --- Num params: 2.495 mil. 
Epoch 1, 1/100, training mseloss: 0.245479, testing mseloss: 0.247675
Epoch 90, 90/100, training mseloss: 0.222014, testing mseloss: 0.232502
Epoch 91, 91/100, training mseloss: 0.222027, testing mseloss: 0.232569
Epoch 92, 92/100, training mseloss: 0.221949, testing mseloss: 0.232489
Epoch 93, 93/100, training mseloss: 0.221866, testing mseloss: 0.232118
Epoch 94, 94/100, training mseloss: 0.221872, testing mseloss: 0.232202
Epoch 95, 95/100, training mseloss: 0.221852, testing mseloss: 0.232452
Epoch 96, 96/100, training mseloss: 0.221785, testing mseloss: 0.232167
Epoch 97, 97/100, training mseloss: 0.221775, testing mseloss: 0.232168
Epoch 98, 98/100, training mseloss: 0.221739, testing mseloss: 0.232316
Epoch 99, 99/100, training mseloss: 0.221640, testing mseloss: 0.231944
Epoch 100, 100/100, training mseloss: 0.221642, testing mseloss: 0.232420
